metric,value
site_url,https://ael-dev3.github.io/Clawberto-Farcaster-Context/
repo_url,https://github.com/ael-dev3/Clawberto-Farcaster-Context
generated_at_utc,2026-05-30 19:42:14
source,hypersnap
hub_url,http://54.157.62.17:3381
snapchain_shards,"1,2"
collect_last_hours,24
window_start_utc,2026-05-29 19:42:06
window_end_utc,2026-05-30 19:41:53
total_records,19661
posts,5804
comments,13857
selected_records,200
unique_authors,5299
total_likes,17769
total_recasts,1905
total_replies,8428
top_cast_score,10.00
top_cast_author,@farcaster
top_cast_url,https://farcaster.xyz/farcaster/0xcd76d758
