author,author_url,casts,posts,comments,likes,recasts,replies,best_score,top_cast_url,avg_score
@luciano,https://farcaster.xyz/luciano,2,0,2,82,16,9,10.00,https://farcaster.xyz/luciano/0xf88e6025,8.75
@jacek,https://farcaster.xyz/jacek,1,0,1,74,15,9,10.00,https://farcaster.xyz/jacek/0x44c6e439,10.00
@ilia24,https://farcaster.xyz/ilia24,1,0,1,21,12,13,8.08,https://farcaster.xyz/ilia24/0x15e6fc30,8.08
@maximthuhalko,https://farcaster.xyz/maximthuhalko,1,0,1,16,12,14,7.49,https://farcaster.xyz/maximthuhalko/0x58899925,7.49
@varov,https://farcaster.xyz/varov,1,0,1,15,9,7,7.35,https://farcaster.xyz/varov/0x4eb595f2,7.35
@primitivee,https://farcaster.xyz/primitivee,1,0,1,15,6,1,7.35,https://farcaster.xyz/primitivee/0xa5a491f6,7.35
@ds8,https://farcaster.xyz/ds8,1,0,1,15,0,1,7.35,https://farcaster.xyz/ds8/0x92105f99,7.35
@hich,https://farcaster.xyz/hich,1,1,0,14,8,8,7.20,https://farcaster.xyz/hich/0x76cec891,7.20
@j-valeska,https://farcaster.xyz/j-valeska,4,2,2,12,2,5,6.27,https://farcaster.xyz/j-valeska/0xaf19622d,3.34
@cielorato,https://farcaster.xyz/cielorato,2,0,2,11,0,1,6.03,https://farcaster.xyz/cielorato/0xdd615a96,5.10
@zouya,https://farcaster.xyz/zouya,1,0,1,10,10,10,6.49,https://farcaster.xyz/zouya/0x6d833986,6.49
@pederzani,https://farcaster.xyz/pederzani,1,0,1,10,3,3,6.49,https://farcaster.xyz/pederzani/0xbe45b4ed,6.49
@sub,https://farcaster.xyz/sub,1,0,1,10,3,1,6.49,https://farcaster.xyz/sub/0x6e1a1332,6.49
@sana55,https://farcaster.xyz/sana55,2,1,1,10,3,4,6.27,https://farcaster.xyz/sana55/0xe6576559,4.43
@kprs0131,https://farcaster.xyz/kprs0131,2,2,0,10,1,13,5.10,https://farcaster.xyz/kprs0131/0x63f60b2c,5.10
@gorhionolo,https://farcaster.xyz/gorhionolo,1,0,1,9,9,9,6.27,https://farcaster.xyz/gorhionolo/0x2bcc0f66,6.27
@fedor0389,https://farcaster.xyz/fedor0389,1,0,1,9,3,3,6.27,https://farcaster.xyz/fedor0389/0x78c96838,6.27
@khetu,https://farcaster.xyz/khetu,1,0,1,7,2,0,5.76,https://farcaster.xyz/khetu/0x03bf6d6a,5.76
@miladtik2,https://farcaster.xyz/miladtik2,1,0,1,6,5,0,5.45,https://farcaster.xyz/miladtik2/0xed5683d3,5.45
@srcklc,https://farcaster.xyz/srcklc,1,0,1,6,0,0,5.45,https://farcaster.xyz/srcklc/0xea398cb3,5.45
@indicawolf,https://farcaster.xyz/indicawolf,1,1,0,5,1,2,5.10,https://farcaster.xyz/indicawolf/0x514916a1,5.10
@warpcast-com,https://farcaster.xyz/warpcast-com,1,0,1,5,2,1,5.10,https://farcaster.xyz/warpcast-com/0x0e1d4615,5.10
@denizakar,https://farcaster.xyz/denizakar,1,1,0,5,1,2,5.10,https://farcaster.xyz/denizakar/0x458a1f22,5.10
@vasillen,https://farcaster.xyz/vasillen,1,0,1,5,2,1,5.10,https://farcaster.xyz/vasillen/0x3a737545,5.10
@xbornid,https://farcaster.xyz/xbornid,1,1,0,4,1,4,4.68,https://farcaster.xyz/xbornid/0xefba8809,4.68
@dfern,https://farcaster.xyz/dfern,1,1,0,4,0,1,4.68,https://farcaster.xyz/dfern/0xd519ae29,4.68
@temhemc,https://farcaster.xyz/temhemc,2,1,1,4,1,1,4.17,https://farcaster.xyz/temhemc/0xaac96b77,3.38
@cryptoconsuela,https://farcaster.xyz/cryptoconsuela,3,1,2,4,0,1,3.51,https://farcaster.xyz/cryptoconsuela/0xb52fe531,2.90
@gold-y,https://farcaster.xyz/gold-y,1,0,1,3,3,3,4.17,https://farcaster.xyz/gold-y/0xf5ddbe8f,4.17
@fx1-faucet,https://farcaster.xyz/fx1-faucet,2,0,2,3,0,3,3.51,https://farcaster.xyz/fx1-faucet/0x9bb9c246,3.05
@wbnns,https://farcaster.xyz/wbnns,2,1,1,3,0,2,3.51,https://farcaster.xyz/wbnns/0x069834b5,3.05
@stitthappens,https://farcaster.xyz/stitthappens,1,0,1,2,0,2,3.51,https://farcaster.xyz/stitthappens/0xa6f241ac,3.51
@zaal,https://farcaster.xyz/zaal,1,0,1,2,0,2,3.51,https://farcaster.xyz/zaal/0xe473d716,3.51
@basebuzz,https://farcaster.xyz/basebuzz,1,1,0,2,0,0,3.51,https://farcaster.xyz/basebuzz/0xe028f086,3.51
@0xhohenheim,https://farcaster.xyz/0xhohenheim,1,0,1,2,0,1,3.51,https://farcaster.xyz/0xhohenheim/0x5bb2fb21,3.51
@ahn,https://farcaster.xyz/ahn,1,0,1,2,0,0,3.51,https://farcaster.xyz/ahn/0xada4cf78,3.51
@robbi3,https://farcaster.xyz/robbi3,1,1,0,2,1,0,3.51,https://farcaster.xyz/robbi3/0x55366563,3.51
@and42,https://farcaster.xyz/and42,1,0,1,2,0,0,3.51,https://farcaster.xyz/and42/0x8aba65b4,3.51
@benido,https://farcaster.xyz/benido,1,0,1,2,0,0,3.51,https://farcaster.xyz/benido/0x87ef8013,3.51
@arfonzo,https://farcaster.xyz/arfonzo,2,0,2,2,0,3,2.59,https://farcaster.xyz/arfonzo/0xcf35138d,2.59
@kosiris,https://farcaster.xyz/kosiris,2,0,2,2,0,2,2.59,https://farcaster.xyz/kosiris/0x992c4b2c,2.59
@randomy,https://farcaster.xyz/randomy,2,1,1,2,0,0,2.59,https://farcaster.xyz/randomy/0xcbaa4062,2.59
@akela113,https://farcaster.xyz/akela113,2,0,2,2,1,0,2.59,https://farcaster.xyz/akela113/0x8747f32a,2.59
@mypokerofff,https://farcaster.xyz/mypokerofff,2,0,2,2,0,0,2.59,https://farcaster.xyz/mypokerofff/0x2a39c3a7,2.59
@smshakil,https://farcaster.xyz/smshakil,2,0,2,1,0,3,2.59,https://farcaster.xyz/smshakil/0xe909f517,1.79
@muhammadind,https://farcaster.xyz/muhammadind,2,0,2,1,0,1,2.59,https://farcaster.xyz/muhammadind/0x9f76e9b1,1.79
@josbec,https://farcaster.xyz/josbec,1,0,1,1,0,1,2.59,https://farcaster.xyz/josbec/0x4b82d283,2.59
@0xparsa,https://farcaster.xyz/0xparsa,1,0,1,1,0,1,2.59,https://farcaster.xyz/0xparsa/0x48508c85,2.59
@shadowwalki,https://farcaster.xyz/shadowwalki,1,0,1,1,0,2,2.59,https://farcaster.xyz/shadowwalki/0x1cff22e8,2.59
@decent-artlu,https://farcaster.xyz/decent-artlu,1,0,1,1,0,1,2.59,https://farcaster.xyz/decent-artlu/0xe20c7366,2.59
@joseacabrerav,https://farcaster.xyz/joseacabrerav,1,0,1,1,0,1,2.59,https://farcaster.xyz/joseacabrerav/0x1a522db9,2.59
@leerooy,https://farcaster.xyz/leerooy,1,1,0,1,0,0,2.59,https://farcaster.xyz/leerooy/0x0452e5ad,2.59
@n3rd,https://farcaster.xyz/n3rd,1,0,1,1,0,0,2.59,https://farcaster.xyz/n3rd/0x6c6ae1c6,2.59
@yatheesh,https://farcaster.xyz/yatheesh,1,1,0,1,0,0,2.59,https://farcaster.xyz/yatheesh/0x7f1410e0,2.59
@sserssergesserss,https://farcaster.xyz/sserssergesserss,1,1,0,1,0,0,2.59,https://farcaster.xyz/sserssergesserss/0x8f3a9592,2.59
@mershad,https://farcaster.xyz/mershad,1,0,1,1,0,0,2.59,https://farcaster.xyz/mershad/0xbc2b03f4,2.59
@suryaprakash,https://farcaster.xyz/suryaprakash,1,1,0,1,0,0,2.59,https://farcaster.xyz/suryaprakash/0xecf257d7,2.59
@eagleye,https://farcaster.xyz/eagleye,1,1,0,1,0,0,2.59,https://farcaster.xyz/eagleye/0x0797de81,2.59
@sundoranth,https://farcaster.xyz/sundoranth,1,0,1,1,1,1,2.59,https://farcaster.xyz/sundoranth/0xa6cc7368,2.59
@rahimkhan,https://farcaster.xyz/rahimkhan,1,1,0,1,0,0,2.59,https://farcaster.xyz/rahimkhan/0x38bc2b3b,2.59
@bgs25,https://farcaster.xyz/bgs25,1,1,0,1,0,1,2.59,https://farcaster.xyz/bgs25/0x4f75ae70,2.59
@rashedur,https://farcaster.xyz/rashedur,1,0,1,1,0,1,2.59,https://farcaster.xyz/rashedur/0x7658af09,2.59
@brooksgallery,https://farcaster.xyz/brooksgallery,1,0,1,1,0,1,2.59,https://farcaster.xyz/brooksgallery/0xd5c2c1e5,2.59
@dudaml,https://farcaster.xyz/dudaml,1,0,1,1,1,0,2.59,https://farcaster.xyz/dudaml/0x8a3996d3,2.59
@arinzaay,https://farcaster.xyz/arinzaay,1,0,1,1,0,1,2.59,https://farcaster.xyz/arinzaay/0x4f176b0c,2.59
@basedcoin,https://farcaster.xyz/basedcoin,1,0,1,1,0,1,2.59,https://farcaster.xyz/basedcoin/0xaf4e61ce,2.59
@0xdavide,https://farcaster.xyz/0xdavide,1,0,1,1,0,0,2.59,https://farcaster.xyz/0xdavide/0x4d6b7a85,2.59
@flexasaurusrex,https://farcaster.xyz/flexasaurusrex,1,0,1,1,0,1,2.59,https://farcaster.xyz/flexasaurusrex/0xf17ec701,2.59
@elistav,https://farcaster.xyz/elistav,1,0,1,1,0,0,2.59,https://farcaster.xyz/elistav/0x75db738b,2.59
@goldie,https://farcaster.xyz/goldie,1,0,1,1,0,1,2.59,https://farcaster.xyz/goldie/0x08de7a58,2.59
@purp,https://farcaster.xyz/purp,1,1,0,1,0,0,2.59,https://farcaster.xyz/purp/0x209d258b,2.59
@upsidecrypto,https://farcaster.xyz/upsidecrypto,1,1,0,1,0,0,2.59,https://farcaster.xyz/upsidecrypto/0x29573b67,2.59
@ponteguapa,https://farcaster.xyz/ponteguapa,1,0,1,1,0,0,2.59,https://farcaster.xyz/ponteguapa/0xa4353312,2.59
@jerry-d,https://farcaster.xyz/jerry-d,1,0,1,1,0,0,2.59,https://farcaster.xyz/jerry-d/0x5c26e998,2.59
@lucifercaretaker,https://farcaster.xyz/lucifercaretaker,1,0,1,1,0,0,2.59,https://farcaster.xyz/lucifercaretaker/0x6087746e,2.59
@swets,https://farcaster.xyz/swets,1,1,0,1,0,0,2.59,https://farcaster.xyz/swets/0xaadaab28,2.59
@danislop13,https://farcaster.xyz/danislop13,1,0,1,1,0,0,2.59,https://farcaster.xyz/danislop13/0xda438534,2.59
@rosem,https://farcaster.xyz/rosem,1,1,0,1,0,0,2.59,https://farcaster.xyz/rosem/0x1df0edac,2.59
@christiancambas,https://farcaster.xyz/christiancambas,1,1,0,1,0,0,2.59,https://farcaster.xyz/christiancambas/0x8f900baf,2.59
@4050,https://farcaster.xyz/4050,1,0,1,1,0,0,2.59,https://farcaster.xyz/4050/0xada48109,2.59
@jibon2,https://farcaster.xyz/jibon2,1,1,0,1,0,0,2.59,https://farcaster.xyz/jibon2/0x33865c55,2.59
@chillendamost,https://farcaster.xyz/chillendamost,1,1,0,1,0,0,2.59,https://farcaster.xyz/chillendamost/0xfa52fe59,2.59
@framedl,https://farcaster.xyz/framedl,1,0,1,1,0,0,2.59,https://farcaster.xyz/framedl/0xf4b7ed85,2.59
@minooart,https://farcaster.xyz/minooart,1,0,1,1,0,0,2.59,https://farcaster.xyz/minooart/0xb0e8e950,2.59
@saikathasan,https://farcaster.xyz/saikathasan,1,1,0,1,0,0,2.59,https://farcaster.xyz/saikathasan/0xe61c94f4,2.59
@rakshasar,https://farcaster.xyz/rakshasar,5,5,0,0,0,5,1.00,https://farcaster.xyz/rakshasar/0xeab5064a,1.00
@ghostagent-og,https://farcaster.xyz/ghostagent-og,1,0,1,0,0,2,1.00,https://farcaster.xyz/ghostagent-og/0x8d106427,1.00
@aeth44,https://farcaster.xyz/aeth44,1,1,0,0,0,2,1.00,https://farcaster.xyz/aeth44/0xdeaf67c2,1.00
@touchstone,https://farcaster.xyz/touchstone,1,0,1,0,0,1,1.00,https://farcaster.xyz/touchstone/0x0ad955c7,1.00
@boscolo,https://farcaster.xyz/boscolo,1,0,1,0,0,1,1.00,https://farcaster.xyz/boscolo/0x2d2176ba,1.00
@neynar,https://farcaster.xyz/neynar,1,0,1,0,0,1,1.00,https://farcaster.xyz/neynar/0xeb4a578e,1.00
@mfa,https://farcaster.xyz/mfa,1,1,0,0,0,1,1.00,https://farcaster.xyz/mfa/0x5b4bb01a,1.00
@ariful51,https://farcaster.xyz/ariful51,1,1,0,0,0,1,1.00,https://farcaster.xyz/ariful51/0xedc318eb,1.00
@aaronj,https://farcaster.xyz/aaronj,1,1,0,0,0,1,1.00,https://farcaster.xyz/aaronj/0x6fffd46b,1.00
