rank,timestamp_utc,type,author,author_url,score,engagement,likes,recasts,replies,theme,visibility,hash,cast_url,parent_hash,preview,text
13,2026-09-17 23:58:13,post,@kompreni,https://farcaster.xyz/kompreni,7.20,17.50,14,0,1,Base Culture,general,0xa52efdca0b7274fa62dcac75b2ee7ddeb35366c7,https://farcaster.xyz/kompreni/0xa52efdca,,JEV / TypeSafe cofounder / COO was in my CS graduating class! Go blue 〽️,JEV / TypeSafe cofounder / COO was in my CS graduating class! Go blue 〽️
14,2026-09-18 11:08:56,post,@alitiknazoglu,https://farcaster.xyz/alitiknazoglu,6.69,17.50,11,1,0,Token/Promo,general,0xdee23fa0db3ee8e514146dddfc6912587c1ac977,https://farcaster.xyz/alitiknazoglu/0xdee23fa0,,"gifted stock product update: > stocks page - every coinbase tokenized stock on base with live price, status and what the vault holds > detailed page - for each stock with a pric...","gifted stock product update: > stocks page - every coinbase tokenized stock on base with live price, status and what the vault holds > detailed page - for each stock with a pric..."
18,2026-09-18 00:05:02,post,@peykan57,https://farcaster.xyz/peykan57,5.10,14.00,5,1,1,Base Culture,general,0x4061622de19ad7a45fa52d8f5fd5a9c8ae5e9e48,https://farcaster.xyz/peykan57/0x4061622d,,"BASE feels weird right now. Some people are frustrated, some are checking out, some are still building like nothing happened. That’s usually when you find out who actually belie...","BASE feels weird right now. Some people are frustrated, some are checking out, some are still building like nothing happened. That’s usually when you find out who actually belie..."
20,2026-09-17 16:39:12,post,@tracyit,https://farcaster.xyz/tracyit,5.10,13.80,5,2,2,Security/Ops,general,0x82975b012dec2d13a78085a65701cabffc102727,https://farcaster.xyz/tracyit/0x82975b01,,I love a good life hack! 🏝️😎,I love a good life hack! 🏝️😎
22,2026-09-18 13:13:54,post,@mrsohag,https://farcaster.xyz/mrsohag,6.03,13.00,8,1,1,Security/Ops,general,0x99992bed86add1c934444afe7aa351ebb3d4a540,https://farcaster.xyz/mrsohag/0x99992bed,,No permission needed. Trade everything onchain......,No permission needed. Trade everything onchain......
23,2026-09-18 06:09:59,post,@denizakar,https://farcaster.xyz/denizakar,6.03,13.00,8,1,1,Base Culture,general,0x1c6e79a7c20293325e80a14131ce87185fa5cdb9,https://farcaster.xyz/denizakar/0x1c6e79a7,,Base Friday Fam..Day starts with Bracelet .💙🟦 🟦 🟦 💙,Base Friday Fam..Day starts with Bracelet .💙🟦 🟦 🟦 💙
29,2026-09-17 22:13:18,post,@shinmoma,https://farcaster.xyz/shinmoma,4.17,10.20,3,1,1,Apps/Games,general,0x239d74ab33cd477626a3f0f290d356f8e7ad697f,https://farcaster.xyz/shinmoma/0x239d74ab,,"FidCaster's referral system pays out points to both sides, not just the person inviting. https://fidcaster.xyz/api/card/embed/517280/mu635vk223t2a8","FidCaster's referral system pays out points to both sides, not just the person inviting. https://fidcaster.xyz/api/card/embed/517280/mu635vk223t2a8"
30,2026-09-18 11:08:13,post,@bytebot,https://farcaster.xyz/bytebot,5.10,10.00,5,0,0,Base Culture,question,0x804e619f065e6a4f805c993cf04ad3815c1d8322,https://farcaster.xyz/bytebot/0x804e619f,,"TIL Blockchain Capital invested in Bluesky (where they famously dislike the blockchain). But maybe the most interesting? They organise little coups against CEOs. Not surprising,...","TIL Blockchain Capital invested in Bluesky (where they famously dislike the blockchain). But maybe the most interesting? They organise little coups against CEOs. Not surprising,..."
32,2026-09-18 14:46:15,post,@kenny,https://farcaster.xyz/kenny,4.17,9.20,3,1,1,Base Culture,general,0x2ef02d760183ab7d537daa4322a4818c3d0960fb,https://farcaster.xyz/kenny/0x2ef02d76,,I just added funds to 's bounty masa to earn 📸 https://poidh.xyz/base/bounty/1400,I just added funds to 's bounty masa to earn 📸 https://poidh.xyz/base/bounty/1400
33,2026-09-17 17:34:50,post,@schmrdty,https://farcaster.xyz/schmrdty,4.68,9.00,4,0,0,Base Culture,general,0x6c62c712731f8abcb11daf3485359098bc2adc4b,https://farcaster.xyz/schmrdty/0x6c62c712,,https://vibechain.com/market/packs/shootris around 4 days left and over 400 packs remain to be ripped... collect 7 of the same rarity to unlock the matching skin in Shootris. Pl...,https://vibechain.com/market/packs/shootris around 4 days left and over 400 packs remain to be ripped... collect 7 of the same rarity to unlock the matching skin in Shootris. Pl...
